x, y, sigmaxx, sigmaxy, sigmayx, sigmayy,
10.5283,20.9891,0.0100345,-0.00308345,-0.00308345,0.00519092,
10.227,21.0385,0.00801101,-0.00211516,-0.00211516,0.00464329,
9.96656,21.0198,0.0101364,-0.00298201,-0.00298201,0.00507198,
9.81359,20.9768,0.00808697,-0.00204366,-0.00204366,0.00455953,
9.56348,20.9643,0.0102326,-0.00288814,-0.00288814,0.00496744,
9.40387,20.9147,0.00815381,-0.00198015,-0.00198015,0.00448925,
9.17363,20.8682,0.0103182,-0.0027998,-0.0027998,0.00487503,
8.85169,20.8521,0.00821259,-0.00192084,-0.00192084,0.00442767,
8.62684,20.7696,0.010405,-0.00269233,-0.00269233,0.00477191,
8.34068,20.6905,0.00827699,-0.00184566,-0.00184566,0.00435579,
8.0878,20.6121,0.0104895,-0.00257813,-0.00257813,0.00466999,
7.86032,20.529,0.0083392,-0.00176693,-0.00176693,0.00428583,
7.62327,20.4447,0.0105689,-0.00246281,-0.00246281,0.00457413,
7.29758,20.3877,0.00839694,-0.00168827,-0.00168827,0.00422083,
7.03378,20.2945,0.0106477,-0.00232988,-0.00232988,0.00447263,
6.78913,20.2069,0.00845703,-0.00159557,-0.00159557,0.00415048,
6.53733,20.1168,0.0107238,-0.00219271,-0.00219271,0.00437593,
6.32012,20.0208,0.00851395,-0.00150107,-0.00150107,0.00408448,
6.08224,19.9275,0.0107932,-0.00205839,-0.00205839,0.00428867,
5.84039,19.8305,0.00856491,-0.00140956,-0.00140956,0.00402569,
5.57331,19.6879,0.0108546,-0.00192222,-0.00192222,0.00420772,
5.45943,19.5545,0.00861107,-0.00131626,-0.00131626,0.00397088,
5.24124,19.4044,0.0109025,-0.00180418,-0.00180418,0.00414305,
5.05935,19.2989,0.00864609,-0.00123813,-0.00123813,0.00392857,
4.86416,19.1842,0.0109385,-0.00169215,-0.00169215,0.00408662,
4.74023,19.0346,0.00867459,-0.00116283,-0.00116283,0.00389101,
4.5075,18.8822,0.0109641,-0.0015966,-0.0015966,0.00404198,
4.35511,18.7503,0.00869539,-0.00109996,-0.00109996,0.00386189,
4.16562,18.6054,0.0109814,-0.00149701,-0.00149701,0.00399898,
